"subject_progress_id","created_by","created_date","updated_by","updated_date","foy_id","foy_kod","progress","student_id"
1,oguz.kazanci,"2024-09-30 18:59:55.602000",oguz.kazanci,"2024-10-01 12:05:35.525000",0,MAT-01,2,8
2,oguz.kazanci,"2024-09-30 18:59:55.599000",oguz.kazanci,"2024-09-30 19:00:07.073000",0,MAT-03,1,8
3,oguz.kazanci,"2024-09-30 18:59:55.604000",,,0,MAT-04,2,8
4,oguz.kazanci,"2024-09-30 18:59:55.603000",,,0,MAT-05,1,8
5,oguz.kazanci,"2024-09-30 18:59:55.602000",,,0,MAT-02,2,8
6,oguz.kazanci,"2024-09-30 19:00:07.073000",,,0,MAT-07,1,8
52,oguz.kazanci,"2024-10-07 09:07:56.013000",,,0,MAT-10,2,8
53,oguz.kazanci,"2024-10-07 09:07:56.013000",,,0,MAT-09,2,8
102,hasan.kasikci,"2024-10-08 10:29:01.511000",,,1,MAT-25,2,8
103,hasan.kasikci,"2024-10-08 10:29:01.512000",,,1,MAT-27,2,8
104,hasan.kasikci,"2024-10-08 10:29:01.512000",,,1,MAT-26,2,8
152,oguz.kazanci,"2025-10-11 15:53:25.994000",,,0,MAT-01,2,26
153,oguz.kazanci,"2025-10-11 15:53:56.674000",,,0,MAT-02,2,28
154,oguz.kazanci,"2025-10-11 15:53:56.674000",,,0,MAT-03,1,28
155,oguz.kazanci,"2025-10-11 15:53:56.674000",,,0,MAT-04,2,28
156,oguz.kazanci,"2025-10-11 15:53:56.681000",,,0,MAT-01,1,28
157,oguz.kazanci,"2025-10-11 15:53:56.681000",,,0,MAT-05,1,28
